stop_name,stop_id,stop_lat,stop_lon
"Horgen Oberdorf, Bahnhof",8573554,47.258682,8.590247999999999
"Horgen, Bergli",8573555,47.257664,8.593212
"Horgen, Sunnehügeli",8573556,47.252686,8.596743
"Zürich Wiedikon, Bahnhof",8573710,47.37143,8.524185000000001
"Zürich, Sädlenweg",8573711,47.36823,8.485163
"Wettswil a.A., Bäumlisächer",8573712,47.342242999999996,8.470107
"Wettswil a.A., Grund",8573713,47.33187,8.47423
"Ringlikon, Langwis",8573714,47.35962,8.465121
"Stallikon, Aumüli",8573715,47.30209,8.4859085
"Stallikon, Tägerst",8573716,47.298775,8.487417
"Aeugstertal, Landhus",8573717,47.279903000000004,8.500649000000001
"Birmensdorf ZH, Aescherstrasse",8573719,47.35089,8.438325
"Arni AG, Stockacker",8573720,47.320034,8.423888999999999
"Oberlunkhofen, Waldegg",8573721,47.313427000000004,8.398817
"Oberlunkhofen, Oberdorf",8573722,47.312386,8.392762
"Oberlunkhofen, Dorfplatz",8573723,47.311398,8.390723
"Stallikon, Aegerten",8573724,47.320198,8.490606
"Islisberg, Dorf",8573725,47.32363,8.439349
"Bonstetten-Wettswil, Bahnhof",8573726,47.326298,8.468499000000001
"Bonstetten, Chrüzacher",8573728,47.316628,8.463064
"Bonstetten, Isenbach",8573729,47.314346,8.4725685
"Bonstetten, Lärchenhof",8573730,47.32424,8.472424499999999
"Stallikon, Diebis",8573731,47.349396,8.475892
"Aeugst am Albis, Müliberg",8573732,47.281234999999995,8.478533
"Aeugst am Albis, Höchweg",8573733,47.270866,8.480644
"Affoltern a. A., Lilienberg",8573734,47.27887,8.466262
"Uitikon, Wängi",8574610,47.375972999999995,8.447613
"Uitikon, Gläseren",8574615,47.373474,8.448619
"Uitikon, Roracher",8574658,47.372116,8.451404
"Uitikon, Halde",8574684,47.36926,8.458725
"Waldegg, Katholische Kirche",8574739,47.364933,8.462345
"Ringlikon, Dorf",8574780,47.358368,8.469505
"Ringlikon, Gättern",8574898,47.360058,8.467367
"Uitikon Waldegg, Bahnhof",8575014,47.366222,8.465032
"Effretikon, Vogelbuckstrasse",8575909,47.43463,8.6833315
"Effretikon, Bahnhof",8575918,47.42514,8.6861515
"Effretikon, Zentrum",8575919,47.428062,8.686385000000001
"Effretikon, Müselacher",8575920,47.429047,8.696599
"Effretikon, Lindenwiese",8575921,47.42602,8.699483
"Illnau, Kirche",8575923,47.4146,8.717395
"Illnau, Steinacher",8575924,47.411842,8.713747999999999
"Illnau, Wingert",8575925,47.410587,8.71187
"Illnau, Chrummenacher",8575926,47.405421999999994,8.719174
"Illnau, Bahnhof",8575927,47.40891,8.722569
"Tagelswangen, Oberwis",8575937,47.43137,8.678256
"Tagelswangen, Buckstrasse",8575938,47.433746,8.672992
"Lindau, Rigacher",8575939,47.440205,8.67751
"Effretikon, Langhag",8575940,47.43717,8.686277
"Lindau, Eschikon",8575941,47.44808,8.682289
"Winterberg ZH, Wältiwis",8575942,47.454006,8.696725
"Grafstal, Oberdorf",8575943,47.443687,8.698243
"Kemptthal, Bahnhof",8575944,47.453022,8.705546
"Effretikon, Girhalde",8575946,47.434345,8.691514999999999
"Uster, Talacker",8575957,47.343315000000004,8.716084
"Uster, im Hölzli",8575958,47.33945,8.714359
"Uster, Florastrasse",8575976,47.346546000000004,8.726397
"Uster, Oberuster",8575977,47.345238,8.730978
"Meilen, Bahnhof",8576080,47.26944,8.644883
"Meilen, Beugen",8576082,47.26727,8.650713
"Uster, Stadtpark",8576095,47.348156,8.715697
"Uster, Wil",8576097,47.3451,8.707801
"Uster, Turicum",8576099,47.348106,8.695045
"Volketswil, Hölzliwisen",8576128,47.380398,8.6782465
"Volketswil, Wallberg",8576129,47.389465,8.687068
"Volketswil, Huzlenstrasse",8576130,47.393173,8.6836815
